Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Balls before pitch,Strikes before pitch,Outs,1B occupied?,2B occupied,3B occupied,
,,Rak,4-seam fastball,FALSE,FALSE,3,2,2,FALSE,FALSE,FALSE,
,,Plant,Changeup,FALSE,FALSE,0,0,2,TRUE,FALSE,FALSE,
,,Plant,4-seam fastball,FALSE,FALSE,1,0,2,FALSE,FALSE,FALSE,
Simms,Eddie,Parker,Slider,TRUE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Parker,4-seam fastball,TRUE,TRUE,0,1,0,FALSE,FALSE,FALSE,
,,Parker,Slider,FALSE,FALSE,0,2,0,FALSE,FALSE,FALSE,
,,Parker,Slider,FALSE,FALSE,1,2,0,FALSE,FALSE,FALSE,
,,Parker,4-seam fastball,FALSE,FALSE,2,2,0,FALSE,FALSE,FALSE,
,,Parker,4-seam fastball,FALSE,TRUE,2,2,0,FALSE,FALSE,FALSE,
,,Parker,Slider,TRUE,TRUE,2,2,0,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,0,0,1,FALSE,FALSE,FALSE,
,,Dame,Slider,TRUE,FALSE,1,0,1,FALSE,FALSE,FALSE,
,,Dame,Slider,FALSE,FALSE,1,1,1,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,2,1,1,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,TRUE,TRUE,3,1,1,FALSE,FALSE,FALSE,
,,Dame,Slider,FALSE,FALSE,3,2,1,FALSE,FALSE,FALSE,BB
,,Aryo,4-seam fastball,FALSE,FALSE,0,0,1,TRUE,FALSE,FALSE,
,,Aryo,4-seam fastball,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,
,,Aryo,4-seam fastball,FALSE,TRUE,1,1,1,TRUE,FALSE,FALSE,
,,Aryo,Sinker,FALSE,TRUE,1,2,1,TRUE,FALSE,FALSE,
,,Simon,Slider,FALSE,FALSE,0,0,2,TRUE,FALSE,FALSE,
,,Simon,4-seam fastball,TRUE,TRUE,1,0,2,FALSE,TRUE,FALSE,
,,Simon,4-seam fastball,TRUE,TRUE,1,1,2,FALSE,TRUE,FALSE,
,,Simon,Slider,FALSE,TRUE,1,2,2,FALSE,TRUE,FALSE,
Simon,Linder,Fast,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Fast,4-seam fastball,TRUE,TRUE,1,0,0,FALSE,FALSE,FALSE,
,,Fast,4-seam fastball,FALSE,FALSE,1,1,0,FALSE,FALSE,FALSE,
,,Fast,4-seam fastball,FALSE,FALSE,2,1,0,FALSE,FALSE,FALSE,
,,Fast,4-seam fastball,FALSE,FALSE,3,1,0,FALSE,FALSE,FALSE,BB
,,Burns,4-seam fastball,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,
,,Burns,4-seam fastball,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,
,,Burns,4-seam fastball,FALSE,FALSE,2,0,0,TRUE,FALSE,FALSE,
,,Burns,4-seam fastball,TRUE,FALSE,3,0,0,FALSE,TRUE,FALSE,
,,Burns,4-seam fastball,TRUE,FALSE,3,1,,FALSE,TRUE,FALSE,
,,Burns,4-seam fastball,FALSE,FALSE,3,2,0,FALSE,TRUE,FALSE,BB
,,Rak,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,TRUE,FALSE,
,,Plant,4-seam fastball,FALSE,FALSE,0,0,2,FALSE,FALSE,FALSE,
,,Plant,4-seam fastball,FALSE,FALSE,1,0,2,FALSE,FALSE,TRUE,
,,Plant,4-seam fastball,TRUE,TRUE,2,2,2,FALSE,FALSE,FALSE,
Simms,Eddie,Parker,Sinker,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,0,0,0,TRUE,FALSE,FALSE,
,,Dame,Slider,FALSE,FALSE,1,0,0,TRUE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,2,0,0,TRUE,FALSE,FALSE,
,,Dame,4-seam fastball,TRUE,FALSE,3,0,0,FALSE,TRUE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,3,1,0,FALSE,TRUE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,,,,FALSE,FALSE,FALSE,BB
Parker,Darius,T. Burton,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,TRUE,TRUE,2,0,0,FALSE,FALSE,FALSE,
,,T. Burton,Changeup,FALSE,FALSE,2,1,0,FALSE,FALSE,FALSE,
,,T. Burton,4-seam fastball,TRUE,TRUE,3,1,,FALSE,FALSE,FALSE,
,,Dom,Slider,FALSE,FALSE,0,0,1,FALSE,FALSE,FALSE,
,,Dom,4-seam fastball,FALSE,FALSE,1,0,1,FALSE,FALSE,FALSE,
,,Dom,4-seam fastball,FALSE,FALSE,2,0,1,FALSE,FALSE,FALSE,
,,Dom,Changeup,TRUE,TRUE,2,1,1,FALSE,FALSE,FALSE,
